股票代码,股票简称,最新价,最新涨跌幅,牛叉诊股综合评分,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分,market_code,code
300129.SZ,泰胜风能,8.49,-1.394,6.1,7.4,4.0,6.1,4.5,6.8,33,300129
300232.SZ,洲明科技,6.03,-1.148,6.1,6.0,5.4,6.6,4.5,7.2,33,300232
300274.SZ,阳光电源,82.88,-2.94,6.1,6.2,5.3,6.6,4.5,7.1,33,300274
300285.SZ,国瓷材料,19.26,-1.129,6.1,5.4,6.8,5.7,4.7,7.1,33,300285
300395.SZ,菲利华,28.42,0.353,6.1,6.4,6.8,5.5,1.1,7.7,33,300395
300406.SZ,九强生物,19.52,-1.165,6.1,6.5,6.7,6.8,0.0,7.1,33,300406
300418.SZ,昆仑万维,37.9,-1.558,6.1,7.6,6.1,5.5,1.0,6.7,33,300418
300601.SZ,康泰生物,23.53,-0.297,6.1,6.9,6.4,5.9,1.6,6.8,33,300601
300724.SZ,捷佳伟创,60.55,-1.577,6.1,5.2,7.2,7.7,1.0,7.3,33,300724
301035.SZ,润丰股份,65.03,-0.459,6.1,7.6,6.8,5.5,1.0,6.2,33,301035
600007.SH,中国国贸,18.98,0.106,6.1,6.6,6.0,5.0,4.5,6.8,17,600007
600094.SH,大名城,2.72,-0.366,6.1,5.1,8.0,5.5,4.5,6.7,17,600094
600114.SH,东睦股份,14.28,4.692,6.1,7.7,4.7,5.0,4.5,6.6,17,600114
600313.SH,农发种业,6.69,-0.446,6.1,7.3,5.4,5.5,4.5,6.2,17,600313
600325.SH,华发股份,7.37,3.077,6.1,6.9,4.6,5.5,4.5,7.2,17,600325
600346.SH,恒力石化,12.73,1.273,6.1,5.7,5.7,5.9,4.5,7.6,17,600346
600422.SH,昆药集团,20.1,0.249,6.1,6.8,5.3,5.5,4.7,6.7,17,600422
600486.SH,扬农化工,52.7,-0.397,6.1,6.6,5.5,5.5,4.5,7.1,17,600486
600487.SH,亨通光电,11.77,-0.675,6.1,7.5,2.7,6.0,3.5,8.1,17,600487
